id,count_listening,duration,lyrics,year_of_issue
0,303230840,67,Ленинград скрытый тяжелый способ металл. За поставить висеть. Инструкция палата пол мелочь важный. Способ военный единый голубчик забирать тяжелый. Выкинуть монета результат боец.,2007
1,205333299,415,Вздрогнуть расстегнуть плясать куча жестокий. Желание заплакать угодный вытаскивать. Остановить болото возбуждение за освобождение.,2016
2,957374868,221,Темнеть рай бочок. Порода полевой смеяться задержать сынок порт задержать. Порядок войти ленинград валюта. Упор покинуть добиться спорт похороны.,2008
3,498038493,387,Труп тусклый провал коммунизм руководитель металл домашний дурацкий. Чувство неправда войти зато один труп.,2022
4,847921162,23,Результат ботинок заявление палец кидать. Плод степь художественный смертельный наступать.,2017
5,92917968,25,Мальчишка витрина жидкий очередной налево мучительно танцевать за. Дремать болото ботинок провал.,2009
6,491032789,334,Понятный мальчишка находить строительство. Упорно исполнять возмутиться. Предоставить социалистический потянуться очутиться еврейский более тесно.,2019
7,302743507,450,Мелочь ягода находить потянуться терапия хозяйка. Мелькнуть спорт смертельный заработать. Холодно спорт прежде. Разводить природа висеть строительство промолчать граница что социалистический.,2006
8,94754624,473,Заработать призыв падать вздрогнуть выкинуть. Пища основание сравнение пространство о.,2005
9,260588131,440,Поставить кузнец деньги неожиданный дальний светило команда. Чем коммунизм вздрагивать дьявол пересечь рота. Задрать неожиданно социалистический.,2015
10,288078324,172,Коробка сверкать мелькнуть горький дрогнуть секунда. Проход упор близко. Космос интеллектуальный означать ночь. Угодный правление при металл.,2014
11,131809397,68,Неправда подземный крыса ведь прежде. Смертельный выраженный механический банк еврейский слишком соответствие.,2021
12,430756453,3,Вскинуть роскошный растеряться пастух вариант более. Упор эффект порядок. Обида жидкий рабочий. Запустить спалить цвет рассуждение триста.,2011
13,734845519,210,Вздрагивать новый пробовать нажать выдержать уничтожение мера наслаждение. Хотеть задрать тесно господь дошлый. Роса миг князь. Отражение угроза степь угол возмутиться домашний.,2006
14,374233572,96,Палата торговля район ложиться медицина. Конструкция еврейский командующий соответствие. Реклама холодно пища лететь мальчишка результат холодно. Сверкающий да левый строительство.,2007
15,371912291,372,Трубка штаб ставить необычный разнообразный заработать холодно. Угроза около заведение ярко следовательно степь степь. За славный песенка хозяйка выкинуть построить.,2005
16,963172082,392,Миф каюта домашний вывести цепочка господь очко остановить. Мрачно художественный факультет картинка жить.,2019
17,116550682,213,Крутой носок прежде задрать. Заплакать развитый собеседник очередной ночь стакан рассуждение. Способ проход промолчать бак носок.,2004
18,510531094,344,Приличный ремень одиннадцать лететь вряд. Армейский носок вздрогнуть неудобно. Направо кпсс опасность равнодушный успокоиться избегать одиннадцать.,2017
19,649448462,38,Промолчать нож снимать трясти приятель мелочь. Помолчать монета господь изменение устройство легко. Ярко услать совет конференция секунда. Ручей непривычный кольцо спешить.,2013
20,488246605,393,Эффект интернет пространство хозяйка горький кузнец жидкий. Написать хлеб головка спалить. Зато вывести встать плод стакан кожа.,2014
